concurrency,prompt_type,ttft_ms,tpot,total_latency_ms,tokens_generated,stop_setting
1,short,3014.90,25.06,5329.25,58,none
1,short,106.32,17.44,622.39,9,none
1,short,244.09,29.86,545.50,9,none
1,short,97.86,26.77,882.18,21,double_newline
1,short,103.94,28.61,1397.05,37,double_newline
1,short,80.26,26.29,4949.64,128,double_newline
1,short,289.06,33.00,531.52,8,single_newline
1,short,100.06,26.95,434.07,9,single_newline
1,short,102.31,29.03,1101.21,29,single_newline
1,long,212.04,28.00,4783.27,128,none
1,long,202.05,29.17,4590.10,128,none
1,long,176.84,28.45,4675.73,128,none
1,long,179.62,32.86,453.48,9,double_newline
1,long,182.69,31.32,565.87,12,double_newline
1,long,176.95,32.77,451.57,9,double_newline
1,long,174.42,32.69,449.77,9,single_newline
1,long,172.09,59.19,205.88,2,single_newline
1,long,192.51,32.44,469.96,9,single_newline
2,short,119.90,7.58,3419.10,25,none
2,short,201.87,18.38,7165.19,128,none
2,short,128.57,13.71,5159.85,69,none
2,short,196.43,17.97,7320.73,128,none
2,short,183.35,13.86,9418.96,128,none
2,short,250.51,13.94,9435.55,128,none
2,short,186.99,24.03,561.57,9,double_newline
2,short,175.91,26.97,250.06,2,double_newline
2,short,149.60,16.74,687.28,9,double_newline
2,short,149.42,24.82,5305.62,128,double_newline
2,short,83.75,26.66,1321.56,33,double_newline
2,short,156.10,26.85,230.60,2,double_newline
2,short,108.78,18.52,3240.64,58,single_newline
2,short,107.87,3.71,917.47,3,single_newline
2,short,183.55,23.91,601.79,10,single_newline
2,short,247.68,13.77,320.29,1,single_newline
2,short,106.26,25.02,426.00,8,single_newline
2,short,105.56,14.51,174.50,1,single_newline
2,long,347.19,13.12,10104.65,128,none
2,long,449.00,13.22,10131.16,128,none
2,long,189.29,14.93,8760.36,128,none
2,long,276.01,15.04,8787.32,128,none
2,long,300.22,14.10,9378.17,128,none
2,long,385.28,14.19,9406.73,128,none
2,long,326.37,14.56,944.43,9,double_newline
2,long,396.82,15.52,1105.81,11,double_newline
2,long,248.10,16.21,618.24,6,double_newline
2,long,335.02,18.18,610.03,5,double_newline
2,long,250.98,14.59,936.42,10,double_newline
2,long,250.33,14.58,935.99,10,double_newline
2,long,258.26,15.79,828.13,9,single_newline
2,long,253.41,15.81,822.62,9,single_newline
2,long,263.28,17.72,940.31,12,single_newline
2,long,259.44,16.24,628.93,6,single_newline
2,long,202.73,14.74,813.28,9,single_newline
2,long,294.09,15.81,989.97,11,single_newline
4,short,388.47,3.89,2704.90,9,none
4,short,385.66,10.93,12094.42,128,none
4,short,266.17,10.91,11998.82,128,none
4,short,385.28,10.93,12094.07,128,none
4,short,549.49,11.85,5107.68,54,none
4,short,542.21,12.31,10938.50,128,none
4,short,669.32,11.88,6308.36,67,none
4,short,669.38,12.37,11014.17,128,none
4,short,2740.74,11.90,7279.38,54,none
4,short,2733.03,12.71,12800.10,128,none
4,short,2732.86,12.71,12800.03,128,none
4,short,453.71,10.44,12716.17,128,none
4,short,300.83,14.78,909.77,9,double_newline
4,short,223.18,20.39,370.33,3,double_newline
4,short,223.14,20.39,370.26,3,double_newline
4,short,147.44,13.04,761.03,8,double_newline
4,short,547.94,16.26,3929.86,55,double_newline
4,short,125.41,4.74,547.65,2,double_newline
4,short,125.34,11.99,3043.81,35,double_newline
4,short,125.33,9.29,986.45,8,double_newline
4,short,255.50,16.42,803.67,9,double_newline
4,short,95.44,13.85,9339.49,128,double_newline
4,short,181.06,13.92,9374.32,128,double_newline
4,short,180.99,16.96,652.80,8,double_newline
4,short,196.62,11.27,995.49,9,single_newline
4,short,192.63,10.96,466.26,3,single_newline
4,short,192.50,18.12,2068.46,34,single_newline
4,short,118.92,13.60,192.46,1,single_newline
4,short,131.63,16.27,684.65,9,single_newline
4,short,130.37,26.43,206.05,2,single_newline
4,short,130.30,20.89,1278.98,24,single_newline
4,short,130.24,16.42,617.52,8,single_newline
4,short,216.22,21.48,961.00,16,single_newline
4,short,214.95,26.47,290.52,2,single_newline
4,short,214.90,17.01,626.46,7,single_newline
4,short,137.37,16.36,626.46,8,single_newline
4,long,467.27,13.27,10110.29,128,none
4,long,466.72,13.27,10109.63,128,none
4,long,466.69,13.27,10109.61,128,none
4,long,218.21,13.04,10032.15,128,none
4,long,380.06,14.66,9112.93,128,none
4,long,378.19,14.66,9111.08,128,none
4,long,378.14,14.66,9111.07,128,none
4,long,130.32,14.37,9038.25,128,none
4,long,381.23,14.78,9038.93,128,none
4,long,380.40,14.78,9038.08,128,none
4,long,136.11,14.49,8972.02,128,none
4,long,380.34,14.78,9038.03,128,none
4,long,394.08,17.06,863.03,8,double_newline
4,long,389.77,16.34,940.46,9,double_newline
4,long,389.73,10.98,2938.69,28,double_newline
4,long,155.53,15.77,5101.64,78,double_newline
4,long,375.26,12.94,1689.20,17,double_newline
4,long,373.63,11.84,1133.56,9,double_newline
4,long,373.53,17.51,716.17,6,double_newline
4,long,137.13,11.61,1687.47,18,double_newline
4,long,398.90,16.55,942.63,9,double_newline
4,long,396.70,18.22,671.09,5,double_newline
4,long,396.58,24.55,5488.76,125,double_newline
4,long,396.63,16.55,940.33,9,double_newline
4,long,381.35,16.61,862.89,8,single_newline
4,long,140.91,12.27,792.81,8,single_newline
4,long,379.94,18.48,1516.43,21,single_newline
4,long,379.92,15.43,1222.19,13,single_newline
4,long,361.96,16.33,913.14,9,single_newline
4,long,361.66,18.03,638.99,5,single_newline
4,long,361.57,23.61,1971.40,38,single_newline
